Level1,Level2,Level3,Employment,Mean_Hourly_Wage,Mean_Annual_Wage,Hourly_Wage
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Psychology teachers, postsecondary...............................................","41,610",(²),"93,530",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Sociology teachers, postsecondary................................................","12,380",(²),"97,270",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Social sciences teachers, postsecondary, all other...............................","17,540",(²),"92,950",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Health teachers, postsecondary....................................................","303,970",(²),"125,490",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Health specialties teachers, postsecondary.......................................","229,720",(²),"137,900",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Nursing instructors and teachers, postsecondary..................................","74,250",(²),"87,090",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Education and library science teachers, postsecondary.............................","63,190",(²),"78,870",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Education teachers, postsecondary................................................","59,090",(²),"78,500",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Library science teachers, postsecondary..........................................","4,100",(²),"84,320",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Law, criminal justice, and social work teachers, postsecondary....................","49,710",(²),"109,320",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Criminal justice and law enforcement teachers, postsecondary.....................","13,560",(²),"84,820",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Law teachers, postsecondary......................................................","22,800",(²),"139,950",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Social work teachers, postsecondary..............................................","13,350",(²),"81,880",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Arts, communications, history, and humanities teachers, postsecondary.............","248,620",(²),"94,900",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Art, drama, and music teachers, postsecondary....................................","97,890",(²),"102,240",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Communications teachers, postsecondary...........................................","29,260",(²),"90,340",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"English language and literature teachers, postsecondary..........................","59,590",(²),"90,400",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Foreign language and literature teachers, postsecondary..........................","21,170",(²),"87,670",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"History teachers, postsecondary..................................................","19,860",(²),"93,710",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Philosophy and religion teachers, postsecondary..................................","20,840",(²),"88,210",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,Miscellaneous postsecondary teachers..............................................,"278,000",(²),"83,780",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Family and consumer sciences teachers, postsecondary.............................","2,630",(²),"84,450",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Recreation and fitness studies teachers, postsecondary...........................","12,680",(²),"87,980",(²)
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Career/technical education teachers, postsecondary...............................","111,150",33.03,"68,710",29.56
Educational instruction and library occupations,Postsecondary teachers.............................................................,"Postsecondary teachers, all other................................................","151,530",(²),"94,470",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........",,"4,321,590",(²),"68,130",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........",Preschool and kindergarten teachers...............................................,"559,490",22.44,"46,680",19.27
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Preschool teachers, except special education.....................................","445,080",19.93,"41,450",17.85
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Kindergarten teachers, except special education..................................","114,410",(²),"67,020",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........",Elementary and middle school teachers.............................................,"2,027,880",(²),"69,860",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Elementary school teachers, except special education.............................","1,393,310",(²),"69,790",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Middle school teachers, except special and career/technical education............","620,370",(²),"70,040",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Career/technical education teachers, middle school...............................","14,200",(²),"68,690",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........",Secondary school teachers.........................................................,"1,176,990",(²),"73,420",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Secondary school teachers, except special and career/technical education.........","1,072,540",(²),"73,700",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Career/technical education teachers, secondary school............................","104,450",(²),"70,550",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........",Special education teachers........................................................,"557,240",(²),"72,230",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Special education teachers, preschool............................................","28,200",(²),"72,610",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Special education teachers, kindergarten and elementary school...................","231,570",(²),"70,150",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Special education teachers, middle school........................................","95,330",(²),"72,310",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Special education teachers, secondary school.....................................","162,780",(²),"74,610",(²)
Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers...........","Special education teachers, all other............................................","39,350",(²),"74,180",(²)
Educational instruction and library occupations,Other teachers and instructors.....................................................,,"1,125,750",24.65,"51,270",21.26
Educational instruction and library occupations,Other teachers and instructors.....................................................,language instructors.............................................................,"36,260",31.09,"64,660",28.82
Educational instruction and library occupations,Other teachers and instructors.....................................................,Self-enrichment teachers..........................................................,"308,520",25.64,"53,330",21.92
Educational instruction and library occupations,Other teachers and instructors.....................................................,"Substitute teachers, short-term...................................................","481,300",21.60,"44,930",18.50
Educational instruction and library occupations,Other teachers and instructors.....................................................,Tutors............................................................................,"174,660",22.97,"47,780",19.27
Educational instruction and library occupations,Other teachers and instructors.....................................................,"Teachers and instructors, all other...............................................","125,010",(²),"71,610",(²)
Educational instruction and library occupations,"Librarians, curators, and archivists...............................................",,"238,010",28.95,"60,220",27.45
Educational instruction and library occupations,"Librarians, curators, and archivists...............................................","Archivists, curators, and museum technicians......................................","32,400",30.24,"62,900",27.45
Educational instruction and library occupations,"Librarians, curators, and archivists...............................................",Archivists.......................................................................,"7,050",32.51,"67,620",29.60
Educational instruction and library occupations,"Librarians, curators, and archivists...............................................",Curators.........................................................................,"12,280",33.68,"70,060",29.70
Educational instruction and library occupations,"Librarians, curators, and archivists...............................................",Museum technicians and conservators..............................................,"13,070",25.78,"53,630",22.82
Educational instruction and library occupations,"Librarians, curators, and archivists...............................................",Librarians and media collections specialists......................................,"131,830",33.26,"69,180",30.92
Educational instruction and library occupations,"Librarians, curators, and archivists...............................................",Library technicians...............................................................,"73,770",20.70,"43,050",19.22
Educational instruction and library occupations,Other educational instruction and library occupations..............................,,"1,866,060",(²),"42,980",(²)
Educational instruction and library occupations,Other educational instruction and library occupations..............................,Farm and home management educators................................................,"10,260",29.07,"60,470",27.94
Educational instruction and library occupations,Other educational instruction and library occupations..............................,Instructional coordinators........................................................,"210,850",37.31,"77,600",35.92
Educational instruction and library occupations,Other educational instruction and library occupations..............................,Teaching assistants...............................................................,"1,530,310",(²),"37,140",(²)
Educational instruction and library occupations,Other educational instruction and library occupations..............................,"Teaching assistants, postsecondary...............................................","155,010",(²),"47,560",(²)
Educational instruction and library occupations,Other educational instruction and library occupations..............................,"Teaching assistants, except postsecondary........................................","1,375,300",(²),"35,960",(²)
Educational instruction and library occupations,Other educational instruction and library occupations..............................,"Educational instruction and library workers, all other............................","114,640",26.78,"55,700",23.27
"Arts, design, entertainment, sports, and media occupations",,,"2,098,690",37.04,"77,040",28.91
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,,"681,550",32.56,"67,730",25.57
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Artists and related workers.......................................................,"93,390",53.25,"110,770",47.63
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Art directors....................................................................,"50,370",61.59,"128,100",53.38
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Craft artists....................................................................,"4,370",21.80,"45,340",18.50
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,"Fine artists, including painters, sculptors, and illustrators....................","10,000",36.76,"76,450",29.12
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Special effects artists and animators............................................,"21,280",52.94,"110,110",47.98
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,"Artists and related workers, all other...........................................","7,370",38.22,"79,490",34.98
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Designers.........................................................................,"588,160",29.28,"60,890",23.57
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Commercial and industrial designers..............................................,"30,250",42.31,"88,000",38.20
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Fashion designers................................................................,"20,910",58.86,"122,430",38.79
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Floral designers.................................................................,"40,160",18.13,"37,700",17.37
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Graphic designers................................................................,"214,260",32.98,"68,610",29.47
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Interior designers...............................................................,"69,580",34.34,"71,430",30.52
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Merchandise displayers and window trimmers.......................................,"192,480",19.49,"40,540",17.96
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,Set and exhibit designers........................................................,"10,850",37.71,"78,450",31.87
"Arts, design, entertainment, sports, and media occupations",Art and design workers.............................................................,"Designers, all other.............................................................","9,680",37.50,"78,000",31.84
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",,"550,830",41.21,"85,710",26.38
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................","Actors, producers, and directors..................................................","184,070",52.72,"109,660",37.50
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",Actors...........................................................................,"38,800",44.40,(²),23.33
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",Producers and directors..........................................................,"145,270",54.94,"114,280",40.13
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................","Athletes, coaches, umpires, and related workers...................................","280,390",(²),"68,880",(²)
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",Athletes and sports competitors..................................................,"14,370",(²),"259,750",(²)
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",Coaches and scouts...............................................................,"250,940",(²),"58,910",(²)
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................","Umpires, referees, and other sports officials....................................","15,080",(²),"52,800",(²)
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",Dancers and choreographers........................................................,"12,490",30.16,"62,740",24.53
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",Dancers..........................................................................,"9,060",30.30,(²),23.97
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",Choreographers...................................................................,"3,430",29.82,"62,020",26.73
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................","Musicians, singers, and related workers...........................................","50,680",51.57,(²),38.76
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",Music directors and composers....................................................,"12,330",40.50,"84,230",30.61
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................",Musicians and singers............................................................,"38,350",55.13,(²),42.45
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................","Miscellaneous entertainers and performers, sports and related workers.............","23,210",30.98,(²),20.99
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................","Disc jockeys, except radio.......................................................","8,170",33.25,(²),20.59
"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers............................","Entertainers and performers, sports and related workers, all other...............","15,040",29.74,(²),20.99
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,,"634,400",39.92,"83,030",33.80
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,Broadcast announcers and radio disc jockeys.......................................,"23,880",38.52,"80,110",21.96
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,"News analysts, reporters, and journalists.........................................","41,550",50.98,"106,030",28.98
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,Public relations specialists......................................................,"280,590",38.61,"80,310",33.55
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,Writers and editors...............................................................,"198,810",42.10,"87,570",37.55
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,Editors..........................................................................,"95,480",41.20,"85,700",36.18
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,Technical writers................................................................,"55,530",44.39,"92,330",44.07
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,Writers and authors..............................................................,"47,800",41.24,"85,780",34.75
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,Miscellaneous media and communication workers.....................................,"89,580",34.40,"71,560",30.05
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,Interpreters and translators.....................................................,"53,360",31.22,"64,950",28.58
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,Court reporters and simultaneous captioners......................................,"12,630",35.88,"74,630",32.36
"Arts, design, entertainment, sports, and media occupations",Media and communication workers....................................................,"Media and communication workers, all other.......................................","23,590",40.81,"84,870",34.51
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,,"231,910",32.41,"67,410",27.15
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,"Broadcast, sound, and lighting technicians........................................","114,340",31.11,"64,710",27.21
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,Audio and video technicians......................................................,"70,080",29.51,"61,370",26.36
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,Broadcast technicians............................................................,"21,080",30.87,"64,220",25.92
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,Sound engineering technicians....................................................,"13,050",38.12,"79,280",31.94
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,Lighting technicians.............................................................,"10,130",33.65,"70,000",29.11
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,Photographers.....................................................................,"51,230",26.76,"55,650",20.44
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,"Television, video, and film camera operators and editors..........................","53,330",39.35,"81,850",33.93
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,"Camera operators, television, video, and film....................................","24,460",38.40,"79,870",33.08
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,Film and video editors...........................................................,"28,860",40.16,"83,530",34.12
"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers..........................................,"Media and communication equipment workers, all other..............................","13,020",37.67,"78,350",32.30
Healthcare practitioners and technical occupations,,,"9,592,690",50.59,"105,220",39.95
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,,"6,338,160",61.80,"128,550",48.74
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Chiropractors.....................................................................,"37,630",44.15,"91,830",37.98
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Dentists..........................................................................,"130,620",99.88,"207,750",86.16
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Dentists, general................................................................","113,490",94.28,"196,100",83.07
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Oral and maxillofacial surgeons..................................................,"5,330",173.19,"360,240",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Orthodontists....................................................................,"5,150",122.41,"254,620",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Prosthodontists..................................................................,760,124.36,"258,660",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Dentists, all other specialists..................................................","5,900",118.52,"246,530",108.54
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Dietitians and nutritionists......................................................,"76,570",35.95,"74,770",35.50
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Optometrists......................................................................,"41,890",67.76,"140,940",64.82
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Pharmacists.......................................................................,"328,870",65.97,"137,210",66.10
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Physician assistants..............................................................,"155,540",65.82,"136,900",64.07
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Podiatrists.......................................................................,"9,520",78.83,"163,960",73.46
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Therapists........................................................................,"777,300",45.78,"95,220",45.68
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Occupational therapists..........................................................,"152,280",47.23,"98,240",47.28
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Physical therapists..............................................................,"248,630",49.23,"102,400",48.57
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Radiation therapists.............................................................,"18,700",53.28,"110,820",49.03
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Recreational therapists..........................................................,"15,060",31.42,"65,350",28.98
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Respiratory therapists...........................................................,"136,420",40.51,"84,260",38.68
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Speech-language pathologists.....................................................,"178,790",46.08,"95,840",45.87
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Exercise physiologists...........................................................,"8,110",28.66,"59,620",27.96
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Therapists, all other............................................................","19,320",35.48,"73,800",31.26
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Veterinarians.....................................................................,"80,630",67.44,"140,270",60.34
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Registered nurses.................................................................,"3,282,010",47.32,"98,430",45.00
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Nurse anesthetists................................................................,"50,350",111.39,"231,700",107.31
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Nurse midwives....................................................................,"8,280",61.59,"128,110",61.92
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Nurse practitioners...............................................................,"307,390",63.46,"132,000",62.12
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Audiologists......................................................................,"14,730",45.83,"95,320",44.29
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Physicians........................................................................,"727,050",130.92,"272,320",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Anesthesiologists................................................................,"41,890",161.85,"336,640",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Cardiologists....................................................................,"18,020",207.93,"432,490",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Dermatologists...................................................................,"10,080",167.22,"347,810",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Emergency medicine physicians....................................................,"33,680",154.19,"320,700",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Family medicine physicians.......................................................,"107,950",123.47,"256,830",114.61
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,General internal medicine physicians.............................................,"66,640",126.31,"262,710",113.63
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Neurologists.....................................................................,"7,700",137.65,"286,310",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Obstetricians and gynecologists..................................................,"19,900",135.16,"281,130",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Pediatricians, general...........................................................","42,960",106.89,"222,340",101.03
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Physicians, pathologists.........................................................","11,800",127.89,"266,020",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Psychiatrists....................................................................,"24,800",129.39,"269,120",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Radiologists.....................................................................,"26,290",172.99,"359,820",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Physicians, all other............................................................","315,360",121.86,"253,470",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Surgeons..........................................................................,"51,400",170.56,"354,760",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Ophthalmologists, except pediatric...............................................","12,110",144.95,"301,500",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Orthopedic surgeons, except pediatric............................................","14,160",175.51,"365,060",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Pediatric surgeons...............................................................,"1,050",216.74,"450,810",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Surgeons, all other..............................................................","24,080",178.50,"371,280",(³)
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Miscellaneous healthcare diagnosing or treating practitioners.....................,"258,380",47.07,"97,910",45.64
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Acupuncturists...................................................................,"8,440",43.15,"89,750",37.57
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,Dental hygienists................................................................,"219,070",45.14,"93,890",45.32
Healthcare practitioners and technical occupations,Healthcare diagnosing or treating practitioners....................................,"Healthcare diagnosing or treating practitioners, all other.......................","30,870",61.86,"128,680",54.68
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,,"3,124,620",28.51,"59,310",26.09
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Clinical laboratory technologists and technicians.................................,"343,040",31.41,"65,320",29.75
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Diagnostic related technologists and technicians..................................,"433,560",40.27,"83,760",38.78
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Cardiovascular technologists and technicians.....................................,"61,180",35.04,"72,890",32.34
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Diagnostic medical sonographers..................................................,"86,460",44.49,"92,550",42.95
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Nuclear medicine technologists...................................................,"16,960",47.93,"99,690",46.64
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Radiologic technologists and technicians.........................................,"223,460",38.35,"79,760",37.34
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Magnetic resonance imaging technologists.........................................,"41,530",43.76,"91,020",42.40
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Medical dosimetrists.............................................................,"3,970",67.99,"141,420",66.40
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Emergency medical technicians and paramedics......................................,"277,520",24.26,"50,460",22.28
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Emergency medical technicians....................................................,"177,980",21.54,"44,790",19.88
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Paramedics.......................................................................,"99,530",29.14,"60,610",28.08
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Health practitioner support technologists and technicians.........................,"975,890",22.77,"47,370",21.64
Healthcare practitioners and technical occupations,Health technologists and technicians...............................................,Dietetic technicians.............................................................,"29,950",19.02,"39,560",17.81
